TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
507.1868,102.474
508.1510,102.5
509.1153,102.495
510.0795,102.474
511.0437,102.45
512.0080,102.427
512.9722,102.393
513.9365,102.334
514.9007,102.246
515.8649,102.139
516.8292,102.045
517.7934,101.999
518.7576,102.019
519.7219,102.091
520.6861,102.174
521.6503,102.223
522.6146,102.212
523.5788,102.147
524.5430,102.063
525.5073,102.008
526.4715,102.015
527.4357,102.082
528.4000,102.177
529.3642,102.258
530.3284,102.297
531.2927,102.29
532.2569,102.256
533.2211,102.218
534.1854,102.191
535.1496,102.179
536.1138,102.173
537.0781,102.165
538.0423,102.153
539.0065,102.141
539.9708,102.135
540.9350,102.133
541.8992,102.131
542.8635,102.12
543.8277,102.095
544.7919,102.06
545.7562,102.03
546.7204,102.02
547.6846,102.039
548.6489,102.088
549.6131,102.157
550.5773,102.232
551.5416,102.302
552.5058,102.366
553.4700,102.431
554.4343,102.506
555.3985,102.598
556.3627,102.702
557.3270,102.807
558.2912,102.902
559.2554,102.976
560.2197,103.025
561.1839,103.048
562.1481,103.045
563.1124,103.015
564.0766,102.96
565.0408,102.884
566.0051,102.798
566.9693,102.717
567.9335,102.652
568.8978,102.606
569.8620,102.574
570.8262,102.543
571.7905,102.503
572.7547,102.446
573.7189,102.374
574.6832,102.294
575.6474,102.212
576.6116,102.134
577.5759,102.064
578.5401,102.001
579.5043,101.948
580.4686,101.911
581.4328,101.896
582.3970,101.904
583.3613,101.935
584.3255,101.977
585.2897,102.016
586.2540,102.037
587.2182,102.033
588.1824,102.005
589.1467,101.964
590.1109,101.927
591.0751,101.909
592.0394,101.919
593.0036,101.953
593.9678,101.997
594.9321,102.036
595.8963,102.061
596.8605,102.068
597.8248,102.066
598.7890,102.063
599.7532,102.067
600.7175,102.079
601.6817,102.095
602.6459,102.107
603.6102,102.11
604.5744,102.102
605.5386,102.09
606.5029,102.084
607.4671,102.089
608.4313,102.106
609.3956,102.13
610.3598,102.149
611.3240,102.153
612.2883,102.137
613.2525,102.106
614.2167,102.071
615.1810,102.043
616.1452,102.034
617.1094,102.048
618.0737,102.079
619.0379,102.117
620.0021,102.149
620.9664,102.167
621.9306,102.17
622.8948,102.159
623.8591,102.14
624.8233,102.12
625.7875,102.101
626.7518,102.088
627.7160,102.081
628.6802,102.081
629.6445,102.087
630.6087,102.096
631.5729,102.102
632.5372,102.103
633.5014,102.096
634.4656,102.083
635.4299,102.067
636.3941,102.055
637.3583,102.048
638.3226,102.049
639.2868,102.054
640.2510,102.061
641.2153,102.07
642.1795,102.079
643.1437,102.088
644.1080,102.094
645.0722,102.099
646.0364,102.101
647.0007,102.102
647.9649,102.104
648.9291,102.107
649.8934,102.114
650.8576,102.126
651.8218,102.144
652.7861,102.169
653.7503,102.196
654.7145,102.218
655.6788,102.228
656.6430,102.224
657.6072,102.207
658.5715,102.188
659.5357,102.177
660.4999,102.179
661.4642,102.194
662.4284,102.211
663.3926,102.22
664.3569,102.209
665.3211,102.167
666.2853,102.084
667.2496,101.961
668.2138,101.839
669.1780,101.788
670.1423,101.825
671.1065,101.912
672.0707,102.006
673.0350,102.09
673.9992,102.155
674.9634,102.199
675.9277,102.222
676.8919,102.228
677.8561,102.223
678.8204,102.211
679.7846,102.197
680.7488,102.184
681.7131,102.174
682.6773,102.166
683.6415,102.155
684.6058,102.136
685.5700,102.105
686.5342,102.065
687.4985,102.027
688.4627,102.003
689.4269,102.003
690.3912,102.023
691.3554,102.054
692.3196,102.078
693.2839,102.085
694.2481,102.072
695.2123,102.049
696.1766,102.026
697.1408,102.015
698.1050,102.019
699.0693,102.036
700.0335,102.06
700.9977,102.086
701.9620,102.114
702.9262,102.142
703.8904,102.171
704.8547,102.199
705.8189,102.224
706.7831,102.247
707.7474,102.27
708.7116,102.294
709.6758,102.318
710.6401,102.339
711.6043,102.355
712.5685,102.363
713.5328,102.366
714.4970,102.364
715.4612,102.356
716.4255,102.339
717.3897,102.314
718.3539,102.283
719.3182,102.257
720.2824,102.247
721.2466,102.258
722.2109,102.286
723.1751,102.321
724.1393,102.353
725.1036,102.376
726.0678,102.388
727.0320,102.395
727.9963,102.401
728.9605,102.409
729.9247,102.421
730.8890,102.433
731.8532,102.444
732.8174,102.453
733.7817,102.461
734.7459,102.469
735.7101,102.479
736.6744,102.491
737.6386,102.506
738.6028,102.52
739.5671,102.531
740.5313,102.537
741.4955,102.539
742.4598,102.539
743.4240,102.541
744.3882,102.548
745.3525,102.561
746.3167,102.58
747.2809,102.599
748.2452,102.615
749.2094,102.625
750.1736,102.629
751.1379,102.629
752.1021,102.629
753.0663,102.631
754.0306,102.634
754.9948,102.639
755.9590,102.645
756.9233,102.651
757.8875,102.659
758.8517,102.67
759.8160,102.682
760.7802,102.695
761.7444,102.707
762.7087,102.717
763.6729,102.722
764.6371,102.72
765.6014,102.714
766.5656,102.706
767.5298,102.702
768.4941,102.705
769.4583,102.719
770.4225,102.74
771.3868,102.761
772.3510,102.776
773.3152,102.778
774.2795,102.77
775.2437,102.754
776.2079,102.738
777.1722,102.727
778.1364,102.725
779.1006,102.731
780.0649,102.745
781.0291,102.762
781.9933,102.78
782.9576,102.798
783.9218,102.817
784.8860,102.836
785.8503,102.858
786.8145,102.88
787.7787,102.902
788.7430,102.919
789.7072,102.93
790.6714,102.934
791.6357,102.932
792.5999,102.927
793.5641,102.924
794.5284,102.924
795.4926,102.929
796.4568,102.939
797.4211,102.955
798.3853,102.975
799.3495,102.999
800.3138,103.023
801.2780,103.047
802.2422,103.068
803.2065,103.082
804.1707,103.09
805.1349,103.093
806.0992,103.094
807.0634,103.098
808.0276,103.105
808.9919,103.116
809.9561,103.131
810.9203,103.147
811.8846,103.163
812.8488,103.18
813.8130,103.195
814.7773,103.208
815.7415,103.22
816.7057,103.23
817.6700,103.242
818.6342,103.26
819.5984,103.282
